word,index
ederken,1492
anneciğim,1493
ovuşturarak,1494
kalkar,1495
namaz,1496
vücudunun,1497
alıp,1498
bulunan,1499
söyledim,1500
geceleri,1501
pencerenin,1502
sesiyle,1503
yıldız,1504
parlayan,1505
oluyor,1506
hayatta,1507
ibaret,1508
ikinci,1509
sandalyeyi,1510
mızıka,1511
saçlı,1512
atının,1513
ezelî,1514
ordumuz,1515
giymiş,1516
sürü,1517
dalgalanıyor,1518
düşmandan,1519
geldiğini,1520
kapısı,1521
razlıka,1522
parlıyor,1523
güneşin,1524
acıtıyor,1525
keçi,1526
donmuş,1527
telgraf,1528
i̇yice,1529
sever,1530
verdim,1531
zâbitleri,1532
veriyor,1533
münâkaşa,1534
takdir,1535
âlî,1536
asabî,1537
bayram,1538
osmanlıları,1539
dinine,1540
yahudiler,1541
yapmak,1542
rumların,1543
bugünkü,1544
intikam,1545
haklı,1546
sık,1547
ısrar,1548
muhalif,1549
siyâsî,1550
ayakları,1551
sevinerek,1552
metre,1553
bugünü,1554
dünyaya,1555
anlattıkları,1556
asılmış,1557
görmek,1558
yirminci,1559
lazımdı,1560
duruyorlar,1561
parçaları,1562
kertenkeleler,1563
yollardan,1564
gümüş,1565
çitin,1566
benden,1567
kardeşim,1568
yaşlı,1569
ahıra,1570
tımar,1571
tosunun,1572
sırtına,1573
atın,1574
uyandı,1575
aradım,1576
gönderdiği,1577
vurdu,1578
çıkarmak,1579
kırılmış,1580
şunu,1581
haber,1582
hasana,1583
diyorum,1584
ağlamaya,1585
güç,1586
kasabaya,1587
ağlıyordu,1588
geliyor,1589
dolmuştu,1590
hakkını,1591
baban,1592
acele,1593
ölmüştü,1594
badem,1595
sarhoş,1596
bahçesinin,1597
viran,1598
otuz,1599
geminin,1600
efendisi,1601
memleketine,1602
almış,1603
almıştı,1604
vatana,1605
turgut,1606
olmalıydı,1607
altmış,1608
gördüğü,1609
rüyaları,1610
uzandı,1611
arasından,1612
donanma,1613
göğsüne,1614
getirmek,1615
sevinçten,1616
hayretten,1617
karıştı,1618
beye,1619
duymayan,1620
hasret,1621
çelik,1622
kolunu,1623
dîvan,1624
derinliklerinde,1625
ipek,1626
hakaretlere,1627
şiiri,1628
savaşa,1629
zamanında,1630
aldığı,1631
kudurmuş,1632
akla,1633
kıyıcı,1634
kızını,1635
tebriz,1636
şahın,1637
i̇smailin,1638
elçisi,1639
hakanı,1640
yapacak,1641
devlet,1642
iş,1643
devletini,1644
çelebinin,1645
şen,1646
oturduğu,1647
hareketle,1648
çiftliğini,1649
kimseye,1650
din,1651
secde,1652
insanlardan,1653
saygı,1654
oysa,1655
vicdanının,1656
açıkça,1657
hor,1658
canlı,1659
elçiye,1660
hakaret,1661
hizmetkârları,1662
göz,1663
alacağım,1664
ünlü,1665
edecekti,1666
kalesine,1667
kaftanını,1668
görmemişti,1669
zengin,1670
tahtının,1671
önündeki,1672
solunda,1673
zamanki,1674
kılıçlarını,1675
bilmiyor,1676
girdiği,1677
ediyoruz,1678
bahçe,1679
çocuğunun,1680
geçirdi,1681
türklere,1682
palasın,1683
hiddetli,1684
karanlıklara,1685
mert,1686
ağlıyor,1687
vatanını,1688
ötede,1689
gölge,1690
seyrediyordu,1691
kadınların,1692
türklüğe,1693
i̇zmire,1694
âşık,1695
evlenmişti,1696
göğsünü,1697
yerinde,1698
harp,1699
hayata,1700
değer,1701
genel,1702
kardeşleri,1703
kalbinin,1704
göğsünün,1705
söyleniyordu,1706
i̇lk,1707
afrikayı,1708
kana,1709
seri,1710
vatanlarını,1711
afrikadaki,1712
fransız,1713
namuslu,1714
bol,1715
eşek,1716
yurdunu,1717
asır,1718
karadağ,1719
girit,1720
anadolu,1721
ağlamak,1722
kaybetmişti,1723
aydınlık,1724
trablusun,1725
topa,1726
değersiz,1727
hiddetinden,1728
önemsiz,1729
hizmetçisi,1730
avrupalılara,1731
renksiz,1732
kafasını,1733
dayanılmaz,1734
ortadaki,1735
i̇çeride,1736
kadınla,1737
yapmıştı,1738
lânetler,1739
gözünün,1740
hayret,1741
türke,1742
reddetti,1743
türkü,1744
bekliyordu,1745
türkiye,1746
seviniyordu,1747
eğitim,1748
işgal,1749
sokağın,1750
eskisi,1751
tramvaya,1752
beyazkuleye,1753
su,1754
işi,1755
araba,1756
çocuklar,1757
birbirlerine,1758
yaklaştığı,1759
levha,1760
ruhundan,1761
kaçmak,1762
başarılı,1763
vücudu,1764
sararmış,1765
suriyeye,1766
özerklik,1767
türklerle,1768
tercüme,1769
i̇talyanların,1770
avrupayı,1771
kahramanlık,1772
hâli,1773
kalırsan,1774
annesinin,1775
türktü,1776
kaşlarını,1777
çattı,1778
gidip,1779
turko,1780
köşesine,1781
değişmişti,1782
gazeteleri,1783
koyalım,1784
mıdır,1785
getirdi,1786
yemek,1787
zâbitin,1788
atmaya,1789
anadoluya,1790
etmişler,1791
acayip,1792
esirlerimizin,1793
ok,1794
kendilerini,1795
gitsin,1796
felâketi,1797
hanıma,1798
çoluk,1799
askerine,1800
belliydi,1801
ettikleri,1802
hanımın,1803
tarafını,1804
yunanlılar,1805
silahı,1806
mavzer,1807
tüfek,1808
kralı,1809
utanmadan,1810
kanlı,1811
kendileri,1812
naşi,1813
ferdî,1814
takın,1815
korkmayınız,1816
oğuzun,1817
meydanı,1818
minnettar,1819
ceketini,1820
toplanıyor,1821
kumandan,1822
intikamı,1823
mutaassıpların,1824
sultan,1825
sultanım,1826
akkayı,1827
işe,1828
hâlini,1829
kitaplar,1830
yığılmış,1831
zarif,1832
gerçeği,1833
göremezdi,1834
kendisinde,1835
kitaba,1836
zihni,1837
değişen,1838
dar,1839
lâyıktı,1840
i̇lim,1841
kitaptı,1842
pazarında,1843
dolaşan,1844
kitapların,1845
kalkmak,1846
ummanı,1847
bilgi,1848
mahalle,1849
mektebinden,1850
aldıktan,1851
okuyan,1852
birinci,1853
şişman,1854
beklenilmez,1855
yuvarlanır,1856
görülür,1857
ilminden,1858
ettirirdi,1859
kitap,1860
gazete,1861
okumazdı,1862
sıska,1863
sola,1864
dünyayı,1865
kullarına,1866
soğuktan,1867
insanlara,1868
peri,1869
uyuşuk,1870
yazın,1871
bırakarak,1872
çiçeklerden,1873
kalır,1874
elmas,1875
ezdi,1876
gözü,1877
birinin,1878
olaya,1879
konu,1880
üretici,1881
tüketici,1882
büyüktü,1883
göğe,1884
veriyorlar,1885
benzemiyordu,1886
geçirecekti,1887
yuvarlana,1888
i̇çi,1889
misafiri,1890
arsız,1891
azıcık,1892
diyecekti,1893
üsküdar,1894
çıkardığı,1895
kapkara,1896
seyahat,1897
henüz,1898
içi,1899
nasıldı,1900
meşgul,1901
karadan,1902
oradan,1903
ferah,1904
pos,1905
nârin,1906
ovuşturdu,1907
beyaza,1908
sebebi,1909
şüphe,1910
bozacı,1911
muhallebici,1912
bulmuş,1913
kabardığını,1914
zarar,1915
muhakkaktı,1916
dükkânın,1917
tuttun,1918
kendim,1919
yaptırdım,1920
arıyor,1921
akıllı,1922
